"RUTA","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Viñegra de Moraña - Ávila","AECL-002","Navatour, S.L.","Regular",NA
"Navalguijo - El Barco de Ávila","AECL-004","Pedro Pedro Autocares, S.L.","Regular",NA
"Neila de San Miguel - El Barco de Ávila","AECL-005","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"El Barquillo - El Barco de Ávila","AECL-005","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cisla - Pascualgrande","AECL-008","Navatour, S.L.","Regular",NA
"Villalaco - Astudillo","AECL-049","Linecar, S.A.","Regular",NA
"Retortillo - El Burgo de Osma","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Alcoba de la Torre - Langa de Duero","AECL-082","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Alcubilla de Avellaneda - San Esteban de Gormaz","AECL-082","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Tapioles - Villalpando","AECL-102","Herederos de A. Tamame, S.A.","Regular",NA
"Moraleja de Sayago - Zamora","AECL-103","Viamar Autocares, S.L.U.","Regular",NA
"Venialbo - Toro","AECL-104","Herederos de A. Tamame, S.A.","Regular",NA
"Becerril del Carpio - Aguilar de Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Santervás de la Vega - Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Monzón de Campos - Palencia","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Sotillo del Rincón - Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Ciria - Soria","VACL-006","Sanz Tierno Autocares, S.L.","Regular",NA
"Palencia - Villaverde de la Peña","VACL-009","Abagón, S.L.","Regular",NA
"Arcos de Jalón - Soria","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Soria - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Ávila - Riofrío","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Ávila - Aldea del Rey Niño","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Aguilar de Campoo - Barruelo de Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Fuentesaúco - Toro","VACL-021","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Madrigal de las Altas Torres - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Arévalo - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Ávila - Magazos","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Magazos - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"San Esteban de Zapardiel - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela - Hernansancho","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Hernansancho - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Langa de Duero - Soria","VACL-031","Transportes Hernández Palacio, S.A. (THERPASA)","Regular",NA
"Berlanga de Duero - Soria","VACL-031","Transportes Hernández Palacio, S.A. (THERPASA)","Regular",NA
"Soria - Golmayo","VACL-031","Transportes Hernández Palacio, S.A. (THERPASA)","Regular",NA
"Mirueña de los Infanzones - San Pedro del Arroyo","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Mamblas - Chaherrero","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Ávila - Horcajo de las Torres","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Navalperal de Pinares - El Tiemblo","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Segovia - Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Segovia - Vegas de Matute","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Vegas de Matute - Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Regular",NA
"Casarejos - Soria","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Soria - Duruelo de la Sierra","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Covaleda - Duruelo de la Sierra","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Fuentesaúco - Zamora","VACL-065","Autocares Siga Hermanos, S.L.","Regular",NA
"Cuelgamures - El Piñero","VACL-065","Autocares Siga Hermanos, S.L.","Regular",NA
"Fermoselle - Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Salce ZA - Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Salce ZA - Almeida","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Almeida - Zamora","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Villadepera - Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Villardiegua de la Ribera - Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Muga de Sayago - Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Muga de Sayago - Pino del Oro","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Pino del Oro - Zamora","VACL-127","Calles y Vara Services, S.L.","Regular",NA
"Losacio - El Puente de la Estrella","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Bercianos de Aliste - Alcañices","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Ribadelago - Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"San Martín del Pedroso - Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Villardeciervos - Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Uña de Quintana - Venta de Villanueva","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Ayoo de Vidriales - Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Vezdemarbán - Zamora","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Fresno - Saldaña","VACL-009","Abagón, S.L.","Regular",NA
"Villarmienzo - Palencia","VACL-009","Abagón, S.L.","Regular",NA
"Maello - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Maello - Velayos","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Velayos - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Zamora - Puebla de Sanabria","VACL-141","Hermanos Vivas Santander, S.A.","Regular",NA
"Báscones de Ebro - Aguilar de Campoo","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Gama - Aguilar de Campoo","AECL-112","Autocares Cabria, S.L.","Demanda",NA
"Matabuena - Aguilar de Campoo","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Menaza - Aguilar de Campoo","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Nava de Santullán - Barruelo de Santullán","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Pozancos - Aguilar de Campoo","AECL-112","Autocares Cabria, S.L.","Demanda",NA
"Salcedillo - Aguilar de Campoo","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Salcedillo - Barruelo de Santullán","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Valberzoso - Aguilar de Campoo","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Valberzoso - Barruelo de Santullán","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Valdegama - Aguilar de Campoo","AECL-112","Autocares Cabria, S.L.","Demanda",NA
"Vallespinoso - Aguilar de Campoo","AECL-112","Autocares Cabria, S.L.","Demanda",NA
"Villabellaco - Barruelo de Santullán","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Villaescusa de las Torres - Aguilar de Campoo","AECL-112","Autocares Cabria, S.L.","Demanda",NA
"Villanueva de Henares - Aguilar de Campoo","VACL-016","Autocares Donato, S.L.","Demanda",NA
"Moveros - Alcañices","VACL-141","Hermanos Vivas Santander, S.A.","Demanda",NA
"Alpanseque - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Borchicayada - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Centenera - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Momblona - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Romanillos - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Valdespina - Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Arbujuelo - Arcos de Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Benamira - Arcos de Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Iruecha - Arcos de Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Mezquetillas - Arcos de Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Puebla de Eca - Arcos de Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"Valtueña - Arcos de Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Demanda",NA
"La Estación - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"San Vicente de Arévalo - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Villanueva de Gómez - Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Aldeavieja - Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Demanda",NA
"Cabañas - Ávila","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Demanda",NA
"Gallegos de San Vicente - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Narrillos de San Leonardo - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Pajares de Adaja - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"San Pascual - Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Urraca - Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Demanda",NA
"Urraca - Miguel","VACL-041","Avanza Líneas Interurbanas, S.L.","Demanda",NA
"Miguel - Ávila","VACL-041","Avanza Líneas Interurbanas, S.L.","Demanda",NA
"San Bartolomé de Béjar - Barco de Ávila","VACL-044","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Cañicera - Berlanga de Duero","AECL-081","Moreno Sanz 2009, S.L.","Demanda",NA
"Manzanares - Berlanga de Duero","AECL-081","Moreno Sanz 2009, S.L.","Demanda",NA
"Morales - Berlanga de Duero","AECL-081","Moreno Sanz 2009, S.L.","Demanda",NA
"Valverde de los Ajos - Berlanga de Duero","AECL-081","Moreno Sanz 2009, S.L.","Demanda",NA
"Ventosa de Fuentepinilla - Berlanga de Duero","AECL-081","Moreno Sanz 2009, S.L.","Demanda",NA
"Navianos - Carbajales","VACL-141","Hermanos Vivas Santander, S.A.","Demanda",NA
"Bustillo del Páramo de Carrión - Carrión de los Condes","VACL-003","Autocares Tejedor H., S.L.","Demanda",NA
"Calzadilla de la Cueza - Carrión de los Condes","VACL-003","Autocares Tejedor H., S.L.","Demanda",NA
"Carrión de los Condes - La Serna","VACL-009","Abagón, S.L.","Demanda",NA
"Lomas - Carrión de los Condes","VACL-009","Abagón, S.L.","Demanda",NA
"Villafruela - Carrión de los Condes","VACL-003","Autocares Tejedor H., S.L.","Demanda",NA
"Cebreros - Navaluenga","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"El Hoyo de Pinares - Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"La Atalaya - Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"Poblado de Burguillo - Cebreros","VACL-036","Compañía Europea de Viajeros España, S.A. (Cevesa)","Demanda",NA
"El Piñero - Corrales del Vino","VACL-065","Autocares Siga Hermanos, S.L.","Demanda",NA
"Vinuesa - Covaleda","VACL-045","Automóviles La Serrana, S.L.","Demanda",NA
"Astudillo - Valbuena de Pisuerga","AECL-049","Linecar, S.A.","Demanda",NA
"Valbuena de Pisuerga - Frómista","AECL-049","Linecar, S.A.","Demanda",NA
"San Pedro - Guardo","VACL-009","Abagón, S.L.","Demanda",NA
"Villanueva de Arriba - Santibáñez de la Peña","VACL-009","Abagón, S.L.","Demanda",NA
"Villaverde de la Peña - Guardo Martes","VACL-009","Abagón, S.L.","Demanda",NA
"Villaverde de la Peña - Guardo Viernes","VACL-009","Abagón, S.L.","Demanda",NA
"Villaverde de la Peña - Santibáñez de la Peña","VACL-009","Abagón, S.L.","Demanda",NA
"Cuevas - Herrera","AECL-014","Mª Teresita del Niño Jesús Ruíz Rodríguez","Demanda",NA
"La Rebolleda - Herrera Lunes","AECL-013","Negrete Bus, S.L.","Demanda",NA
"La Rebolleda - Herrera Miércoles y Jueves","AECL-013","Negrete Bus, S.L.","Demanda",NA
"Mombuey - Asturianos","VACL-141","Hermanos Vivas Santander, S.A.","Demanda",NA
"Fuentesaúco - Villaescusa","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Demanda",NA
"San Miguel de la Ribera - Fuentesaúco","VACL-065","Autocares Siga Hermanos, S.L.","Demanda",NA
"Mancera de Arriba - Ávila","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Demanda",NA
"Mancera de Arriba - Muñico","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Demanda",NA
"Rinconada - Muñico","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Demanda",NA
"Valdecasa - Muñico","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Demanda",NA
"Ciria - Ólvega","VACL-006","Sanz Tierno Autocares, S.L.","Demanda",NA
